NKChart,,,,,
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
562.896805,2.171341738,562.896805,0.082596698,,
562.1166255,2.172275249,562.1166255,0.083242811,,
561.3364461,2.173214503,561.3364461,0.083897847,,
560.5562666,2.174159555,560.5562666,0.084561965,,
559.7760871,2.175110471,559.7760871,0.085235328,,
558.9959077,2.176067334,558.9959077,0.085918102,,
558.2157282,2.177030257,558.2157282,0.086610453,,
557.4355487,2.177999436,557.4355487,0.087312551,,
556.6553693,2.178975356,556.6553693,0.088024812,,
555.8751898,2.17995782,555.8751898,0.088748167,,
555.0950103,2.180946451,555.0950103,0.08948287,,
554.3148309,2.181941072,554.3148309,0.090229125,,
553.5346514,2.182941557,553.5346514,0.090987141,,
552.7544719,2.183947799,552.7544719,0.091757125,,
551.9742925,2.184959704,551.9742925,0.092539294,,
551.194113,2.185977187,551.194113,0.093333863,,
550.4139335,2.187000164,550.4139335,0.094141055,,
549.633754,2.188028553,549.633754,0.094961095,,
548.8535746,2.189062272,548.8535746,0.095794213,,
548.0733951,2.190101239,548.0733951,0.096640645,,
547.2932156,2.191145371,547.2932156,0.097500628,,
546.5130362,2.19219458,546.5130362,0.098374407,,
545.7328567,2.193248777,545.7328567,0.099262231,,
544.9526772,2.194307869,544.9526772,0.100164351,,
544.1724978,2.19537176,544.1724978,0.101081027,,
543.3923183,2.196440348,543.3923183,0.10201252,,
542.6121388,2.197513528,542.6121388,0.1029591,,
541.8319594,2.198591188,541.8319594,0.103921038,,
541.0517799,2.199673212,541.0517799,0.104898612,,
540.2716004,2.200759477,540.2716004,0.105892106,,
539.491421,2.201849854,539.491421,0.106901808,,
538.7112415,2.202944209,538.7112415,0.107928011,,
537.931062,2.204042397,537.931062,0.108971014,,
537.1508826,2.20514427,537.1508826,0.11003112,,
536.3707031,2.206249667,536.3707031,0.11110864,,
535.5905236,2.207358424,535.5905236,0.112203887,,
534.8103441,2.208470365,534.8103441,0.113317181,,
534.0301647,2.209585305,534.0301647,0.114448848,,
533.2499852,2.210703049,533.2499852,0.115599218,,
532.4698057,2.211823394,532.4698057,0.116768627,,
531.6896263,2.212946123,531.6896263,0.117957415,,
530.9094468,2.214071011,530.9094468,0.119165928,,
530.1292673,2.21519782,530.1292673,0.120394519,,
529.3490879,2.216326298,529.3490879,0.121643542,,
528.5689084,2.217456184,528.5689084,0.12291336,,
527.7887289,2.218587199,527.7887289,0.124204337,,
527.0085495,2.219719053,527.0085495,0.125516845,,
526.22837,2.220851442,526.22837,0.126851258,,
525.4481905,2.221984044,525.4481905,0.128207957,,
524.6680111,2.223116522,524.6680111,0.129587323,,
523.8878316,2.224248524,523.8878316,0.130989745,,
523.1076521,2.225379678,523.1076521,0.132415614,,
522.3274727,2.226509596,522.3274727,0.133865323,,
521.5472932,2.227637869,521.5472932,0.135339269,,
520.7671137,2.228764071,520.7671137,0.136837853,,
519.9869342,2.229887754,519.9869342,0.138361476,,
519.2067548,2.231008448,519.2067548,0.139910541,,
518.4265753,2.232125662,518.4265753,0.141485452,,
517.6463958,2.233238881,517.6463958,0.143086616,,
516.8662164,2.234347567,516.8662164,0.144714438,,
516.0860369,2.235451157,516.0860369,0.146369321,,
515.3058574,2.236549062,515.3058574,0.14805167,,
514.525678,2.237640665,514.525678,0.149761885,,
513.7454985,2.238725324,513.7454985,0.151500364,,
512.965319,2.239802365,512.965319,0.153267502,,
512.1851396,2.240871087,512.1851396,0.155063686,,
511.4049601,2.241930757,511.4049601,0.156889302,,
510.6247806,2.24298061,510.6247806,0.158744723,,
509.8446012,2.244019849,509.8446012,0.160630318,,
509.0644217,2.245047643,509.0644217,0.162546443,,
508.2842422,2.246063125,508.2842422,0.164493444,,
507.5040628,2.247065392,507.5040628,0.166471655,,
506.7238833,2.248053507,506.7238833,0.168481394,,
505.9437038,2.249026492,505.9437038,0.170522962,,
505.1635243,2.24998333,505.1635243,0.172596642,,
504.3833449,2.250922968,504.3833449,0.174702697,,
503.6031654,2.251844307,503.6031654,0.176841368,,
502.8229859,2.25274621,502.8229859,0.179012868,,
502.0428065,2.253627497,502.0428065,0.181217384,,
501.262627,2.254486945,501.262627,0.183455074,,
500.4824475,2.255323285,500.4824475,0.18572606,,
499.7022681,2.256135208,499.7022681,0.18803043,,
498.9220886,2.256921357,498.9220886,0.190368231,,
498.1419091,2.257680331,498.1419091,0.192739469,,
497.3617297,2.258410685,497.3617297,0.195144101,,
496.5815502,2.259110926,496.5815502,0.197582037,,
495.8013707,2.25977952,495.8013707,0.20005313,,
495.0211913,2.260414886,495.0211913,0.202557178,,
494.2410118,2.261015399,494.2410118,0.205093914,,
