Photon_Energy_eV,Wavelength_nm,Epsilon1,Epsilon2,n,k
4.85671,255.28433528046764,1.727175,2.331413,1.521292351278693,0.7662606723948805
4.826542,256.87997410982854,1.703984,2.353209,1.518115678415977,0.7750427169210752
4.796745,258.47569216208075,1.700738,2.372444,1.5198376958736166,0.7804925507642108
4.767314,260.0713911439439,1.711095,2.422393,1.5291945794052506,0.7920486485579032
4.738242,261.6670874978526,1.705234,2.447143,1.5309973763117992,0.7991989528731959
4.709521,263.2628634631845,1.713562,2.449916,1.5335049535341565,0.7987962459312108
4.681147,264.8585878631882,1.719593,2.466935,1.5373211465336378,0.8023486197280449
4.653112,266.45436086644804,1.727208,2.495771,1.5431065261564305,0.808683962414593
4.62541,268.0501802002417,1.73938,2.519917,1.5494049653924602,0.8131886292754043
4.598037,269.64593455859534,1.740199,2.522167,1.54991088626517,0.8136490369706614
4.570985,271.2417529263386,1.754852,2.549949,1.557287940463739,0.8187146813840542
4.544249,272.83759846786563,1.766435,2.546506,1.5597477505665238,0.8163198180843894
4.517825,274.43337977898653,1.77157,2.551247,1.5616631786108055,0.8168365096081376
4.491704,276.02931626839165,1.776198,2.563406,1.5644232607681774,0.8192814771691943
4.465886,277.62508581723756,1.776988,2.555344,1.5635629135743383,0.8171541988542147
4.440361,279.22098766294,1.764849,2.55385,1.560316523367877,0.8183756185852673
4.415126,280.8168971848142,1.773875,2.560348,1.563438626169354,0.8188194781502921
4.390176,282.4128198960588,1.755253,2.563146,1.5591342783950153,0.8219773099461717
4.365508,284.00863862808177,1.749379,2.550018,1.5559202929424736,0.8194565015851621
4.341113,285.6046327289799,1.746929,2.555951,1.5560907776071904,0.8212731020520218
4.31699,287.20056891491527,1.738492,2.556518,1.5540456816562884,0.822536309639008
4.293134,288.796479215417,1.731806,2.562047,1.5531024368662922,0.8248158457498347
4.269539,290.39247188045357,1.711609,2.567473,1.5487584565857655,0.8288810269549678
4.246203,291.98839151119245,1.701213,2.576916,1.5474222568457212,0.8326479694213549
4.22312,293.58436037810907,1.66897,2.580983,1.539895535715373,0.8380383409582974
4.200286,295.18037200323977,1.653592,2.58799,1.5370032039122619,0.8418947967748454
